-2.513244,	-0.004368,	6.447276,	-6.267632,	1.032028,	-5.435381,	
2.616831,	-0.002952,	7.342319,	-5.640219,	1.964599,	-3.937071,	
-0.581436,	-0.007612,	9.740241,	-2.000222,	8.820758,	-9.408169,	
0.180027,	-0.009063,	9.780859,	-0.776285,	10.183515,	-10.778286,	
-1.283163,	-0.000423,	11.536887,	-2.041432,	6.313176,	-3.834938,	
3.070604,	-0.004359,	6.054549,	-5.507671,	0.556631,	-4.952275,	
-2.644435,	-0.000729,	5.798892,	-5.918320,	0.487832,	-5.489714,	
2.481785,	-0.005499,	4.475476,	-6.095237,	-0.263355,	-6.304201,	
-0.737583,	-0.001253,	-13.024276,	-7.908347,	-4.937717,	-4.249803,	
-3.133901,	-0.000826,	-0.583191,	-3.550831,	-4.133593,	-7.684273,	
0.753804,	-0.001165,	-12.745709,	-8.146850,	-4.635591,	-4.770780,	
-2.454809,	-0.000647,	4.689823,	-6.300816,	-0.128290,	-6.399968,	
2.714762,	-0.001059,	6.464348,	-5.630701,	1.141608,	-4.591015,	
0.212599,	-0.001635,	8.346466,	-2.065269,	9.916317,	-11.754892,	
0.196163,	-0.002551,	10.861114,	0.338939,	10.133922,	-9.595560,	
2.938073,	-0.000768,	5.428969,	-5.779860,	-0.223437,	-5.998720,	
0.936476,	-0.000751,	9.243275,	-3.801116,	6.967918,	-7.926295,	
-0.040834,	-0.001722,	-5.165690,	-9.555676,	4.375987,	-13.928317,	
-0.882941,	-0.000246,	12.504665,	0.132403,	7.778983,	-4.807807,	
0.814737,	-0.003738,	13.130872,	1.651054,	7.829245,	-3.698944,	
-0.022392,	-0.011415,	-4.501322,	-9.307296,	4.804834,	-14.111840,	
-0.703696,	-0.004943,	10.149038,	-2.143351,	8.339355,	-8.528333,	
1.095794,	-0.000656,	9.451122,	-4.175425,	6.340545,	-7.071516,	
2.181943,	-0.000354,	-9.691336,	2.148296,	-5.063422,	-0.758598,	
-1.712985,	-0.007336,	-3.808943,	-7.245993,	-2.413373,	-7.570457,	
0.032673,	-0.004169,	5.216394,	-4.258790,	9.459460,	-13.711831,	
1.675145,	-0.000764,	-4.258383,	-7.131854,	-2.517178,	-7.395953,	
-0.708525,	-0.004428,	0.679880,	-8.103650,	4.831699,	-11.786354,	
-0.210885,	-0.013075,	2.681821,	-5.978451,	8.225989,	-14.044027,	
0.890630,	-0.005821,	1.298435,	-8.054845,	3.929943,	-10.508646,	
-1.652703,	-0.001535,	-4.239104,	-7.176445,	-2.415420,	-7.370369,	
-0.038738,	-0.000737,	5.140099,	-4.202194,	9.325799,	-13.521260,	
